Hora,Actividad,Espacio,Profesor
07:00 – 08:30,Natación Master,Piscina – Cubo 1,Mauricio
07:30 – 08:15,Gimnasia tradicional,Estadio,Victor
08:15 – 09:00,Básquet +25 (masc),Estadio,Victor
08:20 – 09:10,Natación,Piscina – Cubo 1,Deborah
10:00 a 10:55,Tenis Adultos (pptes),Canchas 1 y 2,Rodrigo
11:00 – 12.00,Tenis (adultos – int),Canchas 1 y 2,Rodrigo
12:00 – 13:15,Básquet +15 (masc.Doma),Estadio
12:15 – 13:00,Gimnasia tradicional,Sala de musculación,Victor
13:00 – 14:00,Tenis (principiantes),Cancha 1,Delia
13:15 – 14:30,Básquet +35 (masc.Doma),Estadio
13:30 – 15:00,Natación Master,Piscina – Cubo 3,Mauricio
14:00 – 15:00,Tenis (intermedio),Cancha 1,Delia
19:00 – 20:00,Tenis (principiantes),Cancha 5,Rodrigo
19:00 – 20:00,Tenis (inter y avanz. adultos),Canchas 1 y 2,Germán – Matias
19:15 – 20:00,Volley (adol. 14 a 17 años int. y avan.),CF4,Andrea
19:15 – 20:15,Básquet +15 (masc.Doma),Gimnasio C,Pablo – Leo
19:20 – 20:20,Fútbol de 15 a 17 años (masculino),Exte. 2,Fabián
19:30 – 21:30,Grupo de running,Rambla,Jorge
20:00 – 21:00,Tenis (principiantes),Cancha 5,Germán
20:00 – 21:00,Tenis (intermedio),Canchas 3 y 4,Rodrigo – Matías
20:00 – 21:30,Volley social mixto,CF4 – Gimnasio C,Claudio
20:15 – 21:00,Natación,Piscina – Cubo 6-7,Pablo
20:20 – 22:00,Fútbol de 18 a 24,Exte. 2,Fabián
20:30 – 21:15,Natación (adultos princip),Piscina Climatizada,Carmen
21:00 – 22:00,Tenis (avanzado),Canchas 3 y 4,Rodrigo – Matías
06:30 – 22:30,Sala de musculación
06:30 – 22:00,Piscina
